FULL NAME,BORN,AGE,BATTING STYLE,BOWLING STYLE,PLAYING ROLE,TEAMS PLAYED,RELATIONS,IMAGE LINK
Rishi Dhawan,"February 19, 1990, Mandi, Himachal Pradesh",33y 340d,Right hand Bat,Right arm Medium fast,Allrounder,"India, Himachal Pradesh, Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians",,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322604.png"
Gaurav Dhiman,"December 16, 1986, New Delhi",37y 40d,Right hand Bat,Right arm Fast medium,Allrounder,"India Under-15s, India Under-19s, Karnataka Under-19s, Mangalore Dragons, Mumbai Indians, Royal Challengers Bangalore",,https://wassets.hscicdn.com/static/images/player-jersey.svg
Bharath Dhuri,"May 28, 1993",30y 242d,Right hand Bat,Right arm Medium,Allrounder,"Bellary Tuskers, Mysuru Warriors",,https://wassets.hscicdn.com/static/images/player-jersey.svg
Shivam Dube,"June 26, 1993, Mumbai",30y 213d,Left hand Bat,Right arm Medium,Allrounder,"India, Chennai Super Kings, India A, India Emerging Team, India Under-23s, Mumbai, Rajasthan Royals, Rizvi Mumbai, Royal Challengers Bangalore",,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322700/322703.png"
Daryl Sunder Ferrario,"May 07, 1998, Malappuram, Kerala",25y 263d,Right hand Bat,Right arm Offbreak,Allrounder,"Ba11sy Trichy, India Under-19s, Salem Spartans, Tamil Nadu Under-14s, Tamil Nadu Under-16s, Tamil Nadu Under-19s",,https://wassets.hscicdn.com/static/images/player-jersey.svg
P Francis Rokins,"January 01, 1988",36y 24d,Right hand Bat,Right arm Medium fast,Allrounder,"Ba11sy Trichy, IDream Tiruppur Tamizhans, Madurai Super Giant, VB Kanchi Veerans",,https://wassets.hscicdn.com/static/images/player-jersey.svg
Nikhil Gangta,"September 01, 1992, Shimla, Himachal Pradesh",31y 146d,Right hand Bat,Right arm Medium,Batting Allrounder,"Himachal Pradesh, Himachal Pradesh Cricket Association XI",,https://wassets.hscicdn.com/static/images/player-jersey.svg
Lakshay Arunkumar Garg,"October 10, 1995, Mapusa, Goa",28y 107d,Right hand Bat,Right arm Medium,Bowling Allrounder,"Goa, Goa Under-14s, Goa Under-16s, Goa Under-19s, Goa Under-22s, Goa Under-25s",,https://wassets.hscicdn.com/static/images/player-jersey.svg
Aneeshwar Gautam Gautam,"January 16, 2003, Bengaluru, Karnataka",21y 9d,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"India B Under-19s, India Under-19s, Mangalore Dragons, Mangalore United, Royal Challengers Bangalore",,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/345000/345089.png"
Yalaka Gnaneswara Rao,"August 25, 1984, Visakhapatnam, Andhra Pradesh",39y 153d,Right hand Bat,Right arm Medium,Allrounder,"Andhra, India Capitals, India Under-19s, Kochi Tuskers Kerala, Madras Rubber Factory, Rest of India Under-19s, South Zone",,https://wassets.hscicdn.com/static/images/player-jersey.svg
Shreyas Gopal,"September 04, 1993, Banglaore, Karnataka",30y 143d,Right hand Bat,Legbreak,Allrounder,"Bengaluru Blasters, Hubli Tigers, India A, India B, India Blue, India Green, India Under-19s, Karnataka, Karnataka State Cricket Association President's XI, Karnataka State Cricket Association XI, Karnataka Under-15s, Kerala, Mumbai Indians, Mysuru Warriors, Namma Shivamogga, Rajasthan Royals, South Zone, Sunrisers Hyderabad",,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322275.png"
Krishnappa Gowtham,"October 20, 1988, Bangalore, Karnataka",35y 97d,Right hand Bat,Right arm Offbreak,Bowling Allrounder,"India, Chennai Super Kings, Karnataka, Kings XI Punjab, Lucknow Super Giants, Malnad Gladiators, Mangalore Dragons, Mumbai Indians, Rajasthan Royals, Shivamogga Strikers",,https://wassets.hscicdn.com/static/images/player-jersey.svg
Gurinder Rajpal Singh,"July 09, 1992, Chandigarh",31y 200d,Right hand Bat,Slow Left arm Orthodox,Allrounder,"Chandigarh, D.A.V College (Chandigarh), Gazi Group Cricketers, Meghalaya, Mohammedan Sporting Club, Punjab, Tripura",,https://wassets.hscicdn.com/static/images/player-jersey.svg
Rajvardhan S Hangargekar,"November 10, 2002, Tuljapur, Maharashtra",21y 76d,Right hand Bat,Right arm Fast medium,Bowling Allrounder,"Chennai Super Kings, India Under-19s, Maharashtra",,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/339100/339157.png"
S Harish Kumar,"October 22, 1989",34y 95d,Right hand Bat,Right arm Medium fast,Allrounder,"Chepauk Super Gillies, Lyca Kovai Kings",,https://wassets.hscicdn.com/static/images/player-jersey.svg
NS Harish,"February 09, 1998",25y 350d,Left hand Bat,Slow Left arm Orthodox,Allrounder,Nellai Royal Kings,,https://wassets.hscicdn.com/static/images/player-jersey.svg
Shubhang Hegde,"March 30, 2001, Bangalore, Karnataka",22y 301d,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"Belagavi Panthers, Bengaluru Blasters, Karnataka, Karnataka Under-14s, Karnataka Under-16s, Karnataka Under-19s, Karnataka Under-22s, Mysuru Warriors",,https://wassets.hscicdn.com/static/images/player-jersey.svg
Deepak Jagbir Hooda,"April 19, 1995, Rohtak",28y 281d,Right hand Bat,Right arm Offbreak,Allrounder,"India, Baroda, Baroda Cricket Association XI, Kings XI Punjab, Lucknow Super Giants, Rajasthan, Rajasthan Royals, Sunrisers Hyderabad",,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/345000/345083.png"
Sayed Iqbal Abdulla,"December 02, 1989, Azamgarh",34y 54d,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Bhilwara Kings, India A, India Green, India Under-19s, Kolkata Knight Riders, Mizoram, Mumbai, Rajasthan Royals, Royal Challengers Bangalore, Sikkim, Uttarakhand",,https://wassets.hscicdn.com/static/images/player-jersey.svg
Venkatesh Rajasekaran Iyer,"December 25, 1994, Indore, Madhya Pradesh",29y 31d,Left hand Bat,Right arm Medium,Allrounder,"India, Kolkata Knight Riders, Madhya Pradesh, Madhya Pradesh Under-16s",,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/337100/337187.png"
