FULL NAME,BORN,AGE,BATTING STYLE,BOWLING STYLE,PLAYING ROLE,TEAMS PLAYED,RELATIONS,IMAGE LINK
Baba Aparajith,"July 08, 1994, Chennai",29y 201d,Right hand Bat,Right arm Offbreak,Batting Allrounder,"Chennai Super Kings, Chepauk Super Gillies, India A, India B, India Blue, India Emerging Players, India Red, India Under-19s, India Under-23s, Nellai Royal Kings, Rest of India, Rising Pune Supergiants, South Zone, Tamil Nadu, Tamil Nadu Districts XI",,https://wassets.hscicdn.com/static/images/player-jersey.svg
Mohdajaz Arafat Khan,"December 27, 1996, Jhalawar, Rajasthan",27y 29d,Right hand Bat,Right arm Medium,Bowler,"Jaipur Pink City Royals, Rajasthan",,https://wassets.hscicdn.com/static/images/player-jersey.svg
A Aravinddaraj,"June 09, 1996",27y 230d,Right hand Bat,Right arm Medium,,Puducherry,,https://wassets.hscicdn.com/static/images/player-jersey.svg
Arjit Pannu,"April 24, 1996, Chandigarh, Punjab",27y 276d,Right hand Bat,Legbreak,,Chandigarh,,https://wassets.hscicdn.com/static/images/player-jersey.svg
Arjun Azad,"August 08, 2001, Chandigarh",22y 170d,Right hand Bat,Legbreak,,"Chandigarh, India A Under-19s",,https://wassets.hscicdn.com/static/images/player-jersey.svg
Vaibhav Gopal Arora,"December 14, 1997",26y 42d,Right hand Bat,Right arm Fast medium,Bowler,"Himachal Pradesh, Kolkata Knight Riders, Punjab Kings",,https://wassets.hscicdn.com/static/images/player-jersey.svg
Mohd Arshad Khan,"December 20, 1997, Gopalganj (Seoni)",26y 36d,Left hand Bat,Left arm Medium,Bowler,"Madhya Pradesh, Mumbai Indians",,https://wassets.hscicdn.com/static/images/player-jersey.svg
Arshdeep Singh,"February 05, 1999, Guna, Madhya Pradesh",24y 354d,Left hand Bat,Left arm Medium fast,Bowler,"India, India Under-19s, India Under-23s, Kent, Kings XI Punjab, Punjab",,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322100/322178.png"
Konda Bhaskir Arun Karthik,"February 15, 1986, Walajapet, Tamil Nadu",37y 344d,Right hand Bat,Legbreak Googly,Wicketkeeper Batter,"Badureliya Sports Club, Chennai Super Kings, Nellai Royal Kings, Puducherry, Royal Challengers Bangalore, Siechem Madurai Panthers, Tamil Nadu",,https://wassets.hscicdn.com/static/images/player-jersey.svg
Priyansh Arya,"January 18, 2001",23y 7d,Left hand Bat,Right arm Offbreak,,"Delhi, India A Under-19s",,https://wassets.hscicdn.com/static/images/player-jersey.svg
Aryan Sahani,"June 21, 2007",16y 218d,Right hand Bat,Right arm Medium fast,,Arunachal Pradesh,,https://wassets.hscicdn.com/static/images/player-jersey.svg
Kattingeri Ashwin Hebbar,"November 15, 1995, Nellore, Andhra Pradesh",28y 71d,Right hand Bat,Right arm Slow medium,Opening Batter,"Andhra, Delhi Capitals",,https://wassets.hscicdn.com/static/images/player-jersey.svg
Murugan Ashwin,"September 08, 1990, Chennai, Tamil Nadu",33y 139d,Right hand Bat,Legbreak Googly,Bowler,"Chandigarh, Chepauk Super Gillies, Delhi Daredevils, Dindigul Dragons, India Red, Kings XI Punjab, Mumbai Indians, Rajasthan Royals, Rising Pune Supergiants, Royal Challengers Bangalore, Salem Spartans, Siechem Madurai Panthers, Tamil Nadu, TNCA President's XI",,https://wassets.hscicdn.com/static/images/player-jersey.svg
Ravichandran Ashwin,"September 17, 1986, Madras (now Chennai), Tamil Nadu",37y 130d,Right hand Bat,Right arm Offbreak,Bowling Allrounder,"India, Chennai Super Kings, Delhi Capitals, Dindigul Dragons, India A, India Blue, India Cements, India Emerging Players, India Green, India Red, Indian Board President's XI, Kings XI Punjab, Nottinghamshire, Rajasthan Royals, Rest of India, Rising Pune Supergiants, South Zone, Tamil Nadu, Tamil Nadu Cricket Association XI, Worcestershire",,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316521.png"
KM Asif,"July 24, 1993, Edavanna,Malappuram",30y 185d,Right hand Bat,Right arm Medium,Bowler,"Chennai Super Kings, Kerala, Kerala Under-22s, Kerala Under-25s, Rajasthan Royals",,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/339100/339151.png"
